0.001   -84.8432   -37.8404   -6.62947   -2.94473   -84.8592   -37.8415   -6.62843   -2.94448
0.002   -40.9914   -18.3405   -3.28522   -1.45706   -40.9844   -18.3405   -3.28357   -1.45695
0.003   -26.5192   -11.9055   -2.171   -0.961494   -26.5064   -11.9051   -2.1702   -0.96139
0.004   -19.3405   -8.71674   -1.61515   -0.713916   -19.3333   -8.71641   -1.61447   -0.713798
0.005   -15.0682   -6.81955   -1.28201   -0.565449   -15.0706   -6.82137   -1.28165   -0.565379
0.006   -12.2486   -5.56515   -1.06073   -0.466601   -12.2453   -5.56526   -1.06022   -0.466536
0.007   -10.2473   -4.67636   -0.902629   -0.396047   -10.2462   -4.67642   -0.902372   -0.396016
0.008   -8.75968   -4.01467   -0.784637   -0.343229   -8.75839   -4.0149   -0.78423   -0.343193
0.009   -7.61044   -3.50408   -0.692878   -0.302195   -7.60989   -3.50423   -0.692526   -0.302165
0.01   -6.69733   -3.09872   -0.619507   -0.269411   -6.69784   -3.09869   -0.61931   -0.26939
0.011   -5.95705   -2.76914   -0.559797   -0.24263   -5.95692   -2.76925   -0.559508   -0.242615
0.012   -5.34473   -2.49642   -0.510142   -0.22035   -5.34383   -2.49667   -0.509763   -0.220338
0.013   -4.82958   -2.26744   -0.46808   -0.201531   -4.82863   -2.26762   -0.467738   -0.20152
0.014   -4.39071   -2.07262   -0.432022   -0.185429   -4.39001   -2.07264   -0.431769   -0.185418
0.015   -4.01275   -1.90495   -0.400789   -0.171501   -4.0124   -1.90479   -0.400636   -0.171487
0.016   -3.68491   -1.7587   -0.373727   -0.159328   -3.68419   -1.75893   -0.373423   -0.159321
0.017   -3.39729   -1.63064   -0.349804   -0.14861   -3.39635   -1.63104   -0.349435   -0.148606
0.018   -3.14307   -1.5177   -0.328488   -0.139105   -3.14215   -1.51811   -0.328164   -0.139117
0.019   -2.9169   -1.4174   -0.309383   -0.130619   -2.91614   -1.41774   -0.309069   -0.130611
0.02   -2.71453   -1.32776   -0.292167   -0.122999   -2.71398   -1.32796   -0.291923   -0.122987
0.021   -2.53251   -1.2472   -0.276578   -0.116119   -2.53212   -1.24725   -0.27641   -0.116103
0.022   -2.36813   -1.1743   -0.262472   -0.109872   -2.36781   -1.17435   -0.262304   -0.109858
0.023   -2.2191   -1.10791   -0.249705   -0.104171   -2.21866   -1.10819   -0.24942   -0.104167
0.024   -2.08321   -1.04754   -0.237944   -0.098961   -2.08274   -1.04793   -0.237601   -0.0989627
