0.001   -315.466   -140.315   -54.7898   -24.3507
0.002   -155.362   -69.1844   -27.2896   -12.1274
0.003   -102.193   -45.5561   -18.1309   -8.0536
0.004   -75.7068   -33.788   -13.5511   -6.01726
0.005   -59.8636   -26.7474   -10.8038   -4.79541
0.006   -49.3451   -22.0684   -8.97406   -3.98148
0.007   -41.8473   -18.7356   -7.66724   -3.39977
0.008   -36.2459   -16.2458   -6.68799   -2.96379
0.009   -31.8999   -14.3149   -5.9267   -2.62465
0.01   -28.4312   -12.7743   -5.31796   -2.35331
0.011   -25.603   -11.5179   -4.8204   -2.13144
0.012   -23.2545   -10.4745   -4.40621   -1.94669
0.013   -21.2713   -9.59363   -4.05586   -1.79035
0.014   -19.5753   -8.84053   -3.75572   -1.65637
0.015   -18.1091   -8.18955   -3.49576   -1.54029
0.016   -16.8312   -7.62166   -3.26855   -1.43888
0.017   -15.7074   -7.12201   -3.06825   -1.3495
0.018   -14.7104   -6.67899   -2.89031   -1.27004
0.019   -13.8203   -6.28359   -2.73119   -1.19895
0.02   -13.0209   -5.92864   -2.58808   -1.13497
0.021   -12.2994   -5.60831   -2.45869   -1.0771
0.022   -11.645   -5.31786   -2.34116   -1.0245
0.023   -11.0497   -5.05329   -2.23402   -0.976547
0.024   -10.506   -4.81136   -2.13597   -0.932644
0.025   -10.0068   -4.58937   -2.04579   -0.892255
0.026   -9.54688   -4.38501   -1.96257   -0.854977
0.027   -9.12189   -4.19629   -1.88555   -0.820467
0.028   -8.72809   -4.0215   -1.81406   -0.788432
0.029   -8.36225   -3.8592   -1.74754   -0.758616
0.03   -8.02155   -3.7081   -1.68548   -0.730799
0.031   -7.70356   -3.56712   -1.62746   -0.704789
0.032   -7.40613   -3.43528   -1.5731   -0.680417
0.033   -7.12751   -3.31172   -1.52212   -0.657537
0.034   -6.86616   -3.19566   -1.47429   -0.636024
0.035   -6.62025   -3.08652   -1.42919   -0.61575
0.036   -6.3885   -2.98371   -1.38659   -0.596614
0.037   -6.16975   -2.8867   -1.34629   -0.578522
0.038   -5.96296   -2.79504   -1.30811   -0.561392
0.039   -5.76721   -2.70829   -1.27189   -0.545151
0.04   -5.58166   -2.62608   -1.23749   -0.529733
0.041   -5.40556   -2.54808   -1.20477   -0.515076
0.042   -5.23822   -2.47396   -1.17361   -0.501127
0.043   -5.07903   -2.40347   -1.14391   -0.487837
0.044   -4.92742   -2.33634   -1.11557   -0.47516
0.045   -4.78287   -2.27234   -1.08849   -0.463055
0.046   -4.64493   -2.21127   -1.0626   -0.451485
0.047   -4.51317   -2.15293   -1.03781   -0.440416
0.048   -4.38751   -2.09701   -1.01429   -0.429821
0.049   -4.26728   -2.04349   -0.991748   -0.419666
0.05   -4.15208   -1.99224   -0.970082   -0.409925
0.051   -4.04161   -1.94313   -0.949242   -0.400572
0.052   -3.93559   -1.89603   -0.929183   -0.391586
0.053   -3.83377   -1.85082   -0.909862   -0.382946
0.054   -3.7359   -1.8074   -0.89124   -0.374632
0.055   -3.64179   -1.76566   -0.873279   -0.366626
0.056   -3.55121   -1.72551   -0.855946   -0.358913
0.057   -3.46398   -1.68686   -0.839209   -0.351475
0.058   -3.37992   -1.64963   -0.823038   -0.3443
0.059   -3.29888   -1.61375   -0.807404   -0.337374
0.06   -3.22069   -1.57914   -0.792283   -0.330683
0.061   -3.14522   -1.54575   -0.777649   -0.324218
0.062   -3.07232   -1.51351   -0.763479   -0.317965
0.063   -3.00189   -1.48236   -0.749752   -0.311916
0.064   -2.93379   -1.45225   -0.736449   -0.306061
0.065   -2.86791   -1.42314   -0.723549   -0.300391
0.066   -2.80416   -1.39496   -0.711035   -0.294896
0.067   -2.74244   -1.36769   -0.698891   -0.28957
0.068   -2.6827   -1.34118   -0.687265   -0.284399
0.069   -2.62484   -1.31544   -0.676084   -0.279378
0.07   -2.56874   -1.2905   -0.665192   -0.274506
0.071   -2.51431   -1.26633   -0.654577   -0.269775
0.072   -2.4615   -1.24288   -0.644231   -0.26518
0.073   -2.41024   -1.22014   -0.634142   -0.260716
0.074   -2.36045   -1.19808   -0.624301   -0.256376
0.075   -2.31208   -1.17665   -0.6147   -0.252156
0.076   -2.26507   -1.15584   -0.60533   -0.248052
0.077   -2.21937   -1.13562   -0.596182   -0.244057
0.078   -2.17492   -1.11597   -0.58725   -0.240169
0.079   -2.13168   -1.09686   -0.578526   -0.236383
0.08   -2.0896   -1.07828   -0.570002   -0.232695
0.081   -2.04864   -1.0602   -0.561672   -0.229101
0.082   -2.00875   -1.0426   -0.55353   -0.225599
0.083   -1.96989   -1.02546   -0.545569   -0.222184
0.084   -1.93203   -1.00877   -0.537784   -0.218853
0.085   -1.89513   -0.992508   -0.530168   -0.215603
0.086   -1.85916   -0.976662   -0.522717   -0.212433
0.087   -1.82407   -0.961214   -0.515425   -0.209337
0.088   -1.78985   -0.94615   -0.508288   -0.206315
0.089   -1.75646   -0.931458   -0.5013   -0.203363
0.09   -1.72387   -0.917122   -0.494456   -0.20048
0.091   -1.69206   -0.903132   -0.487754   -0.197662
0.092   -1.66099   -0.889475   -0.481187   -0.194908
0.093   -1.63065   -0.87614   -0.474753   -0.192216
0.094   -1.60101   -0.863116   -0.468447   -0.189583
0.095   -1.57205   -0.850391   -0.462266   -0.187008
0.096   -1.54378   -0.837887   -0.456372   -0.18448
0.097   -1.51616   -0.825626   -0.450682   -0.182001
0.098   -1.48916   -0.813648   -0.445083   -0.179576
0.099   -1.46274   -0.801942   -0.439572   -0.177202
0.1   -1.4369   -0.7905   -0.434147   -0.174879
