0.171   0.272117   -0.00336991
0.172   0.273229   -0.00330687
0.173   0.274304   -0.00324474
0.174   0.275343   -0.00318353
0.175   0.276347   -0.00312322
0.176   0.277317   -0.00306378
0.177   0.278253   -0.00300522
0.178   0.279156   -0.00294752
0.179   0.280027   -0.00289066
0.18   0.280866   -0.00283463
0.181   0.281673   -0.00277943
0.182   0.28245   -0.00272504
0.183   0.283198   -0.00267146
0.184   0.283915   -0.00261866
0.185   0.284604   -0.00256665
0.186   0.285264   -0.0025154
0.187   0.285895   -0.00246492
0.188   0.2865   -0.0024152
0.189   0.287077   -0.00236621
0.19   0.287627   -0.00231797
0.191   0.288151   -0.00227045
0.192   0.288648   -0.00222365
0.193   0.28912   -0.00217756
0.194   0.289566   -0.00213217
0.195   0.289988   -0.00208748
0.196   0.290384   -0.00204348
0.197   0.290756   -0.00200016
0.198   0.291103   -0.00195752
0.199   0.291426   -0.00191555
0.2   0.291726   -0.00187424
0.201   0.291919   -0.00183539
0.202   0.292096   -0.00179707
0.203   0.292255   -0.00175925
0.204   0.292397   -0.00172195
0.205   0.292521   -0.00168514
0.206   0.292629   -0.00164884
0.207   0.292719   -0.00161303
0.208   0.292792   -0.00157772
0.209   0.292849   -0.0015429
0.21   0.292888   -0.00150856
0.211   0.292911   -0.0014747
0.212   0.292916   -0.00144133
0.213   0.292905   -0.00140843
0.214   0.292876   -0.001376
0.215   0.29283   -0.00134405
0.216   0.292767   -0.00131256
0.217   0.292687   -0.00128154
0.218   0.292589   -0.00125099
0.219   0.292473   -0.0012209
0.22   0.29234   -0.00119126
0.221   0.292189   -0.00116209
0.222   0.292021   -0.00113337
0.223   0.291833   -0.00110511
0.224   0.291628   -0.0010773
0.225   0.291404   -0.00104994
0.226   0.291161   -0.00102304
0.227   0.290899   -0.000996583
0.228   0.290617   -0.000970577
0.229   0.290316   -0.000945019
0.23   0.289863   -0.00092117
0.231   0.289363   -0.000898016
0.232   0.288857   -0.00087518
0.233   0.288342   -0.000852664
0.234   0.28782   -0.000830467
0.235   0.287289   -0.000808589
0.236   0.286749   -0.00078703
0.237   0.286201   -0.000765789
0.238   0.285642   -0.000744867
0.239   0.285074   -0.000724264
0.24   0.284495   -0.000703979
0.241   0.283905   -0.000684014
0.242   0.283304   -0.000664369
0.243   0.282691   -0.000645044
0.244   0.282065   -0.000626039
0.245   0.281426   -0.000607356
0.246   0.280773   -0.000588995
0.247   0.280106   -0.000570956
0.248   0.279424   -0.000553241
0.249   0.278726   -0.000535851
0.25   0.278012   -0.000518787
0.251   0.277281   -0.00050205
0.252   0.276532   -0.00048564
0.253   0.275765   -0.000469561
0.254   0.274978   -0.000453813
0.255   0.274078   -0.000438867
0.256   0.27305   -0.000424789
0.257   0.272019   -0.000410952
0.258   0.270984   -0.000397357
0.259   0.269944   -0.000384005
0.26   0.2689   -0.000370896
0.261   0.267849   -0.000358032
0.262   0.266791   -0.000345412
0.263   0.265725   -0.000333038
0.264   0.264651   -0.000320911
0.265   0.263567   -0.000309031
0.266   0.262472   -0.000297399
0.267   0.261366   -0.000286017
0.268   0.260247   -0.000274885
0.269   0.259114   -0.000264004
0.27   0.257966   -0.000253376
0.271   0.256801   -0.000243
0.272   0.255619   -0.000232878
0.273   0.254419   -0.00022301
0.274   0.253198   -0.000213399
0.275   0.251955   -0.000204044
0.276   0.250557   -0.00019512
0.277   0.249096   -0.000186505
0.278   0.24763   -0.000178121
0.279   0.246156   -0.000169969
0.28   0.244673   -0.000162048
0.281   0.243181   -0.000154358
0.282   0.241678   -0.000146899
0.283   0.240162   -0.000139669
0.284   0.238631   -0.000132668
0.285   0.237085   -0.000125894
0.286   0.235521   -0.000119347
0.287   0.233937   -0.000113024
0.288   0.232332   -0.000106923
0.289   0.230703   -0.000101042
0.29   0.229048   -9.5378e-05
0.291   0.227365   -8.99268e-05
0.292   0.225582   -8.44409e-05
0.293   0.223717   -7.89917e-05
0.294   0.221835   -7.38075e-05
0.295   0.219933   -6.88852e-05
0.296   0.218009   -6.42213e-05
0.297   0.216061   -5.98116e-05
0.298   0.214085   -5.56509e-05
0.299   0.21208   -5.17327e-05
0.3   0.210041   -4.80495e-05
0.301   0.207967   -4.45923e-05
0.302   0.205852   -4.13504e-05
0.303   0.203694   -3.83108e-05
0.304   0.201462   -3.51292e-05
0.305   0.199141   -3.1683e-05
0.306   0.196778   -2.85554e-05
0.307   0.194366   -2.57366e-05
0.308   0.191902   -2.32142e-05
0.309   0.18938   -2.09724e-05
0.31   0.186796   -1.89917e-05
0.311   0.184142   -1.72472e-05
0.312   0.181413   -1.57081e-05
0.313   0.178595   -1.37786e-05
0.314   0.175683   -1.16313e-05
0.315   0.172672   -9.87103e-06
0.316   0.169552   -8.47069e-06
0.317   0.166311   -7.3928e-06
0.318   0.162936   -6.58618e-06
0.319   0.159421   -5.79839e-06
0.32   0.155773   -4.32098e-06
0.321   0.151919   -3.32109e-06
0.322   0.147833   -2.73674e-06
0.323   0.143483   -2.47103e-06
0.324   0.138881   -1.68684e-06
0.325   0.133915   -1.07597e-06
0.326   0.128484   -9.41705e-07
0.327   0.122565   -5.50439e-07
0.328   0.115931   -3.06685e-07
0.329   0.108338   -1.66294e-07
0.33   0.099349   -1.29495e-07
0.331   0.0882259   -3.57266e-08
0.332   0.072892   1.4402e-08
0.333   0.0443708   -1.77368e-10
