0.0001   -3.47188e-06   -0.00145337   2.49359e-10   2.49359e-10   8.07182e-11   -0.000137302   0   -3.04872e-20   1   2.22045e-16
0.000103753   -4.48032e-06   -0.00145337   2.59967e-10   2.59967e-10   -1.49865e-09   -0.000137302   0   -3.04872e-20   1   2.22045e-16
0.000107647   -5.35487e-06   -0.00145338   2.70858e-10   2.70858e-10   -3.03809e-09   -0.000137302   0   -3.04872e-20   1   2.22045e-16
0.000111686   -6.02283e-06   -0.00145338   2.82029e-10   2.82029e-10   -4.44533e-09   -0.000137302   0   -3.04872e-20   1   2.22045e-16
0.000115878   -6.41017e-06   -0.00145339   2.93471e-10   2.93471e-10   -5.6229e-09   -0.000137302   0   -3.04872e-20   1   2.22045e-16
0.000120226   -6.44152e-06   -0.00145339   3.05176e-10   3.05176e-10   -6.46776e-09   -0.000137302   0   -3.04872e-20   1   2.22045e-16
0.000124738   -6.0401e-06   -0.0014534   3.17134e-10   3.17134e-10   -6.87106e-09   -0.000137302   0   -3.04872e-20   1   2.22045e-16
0.00012942   -5.12771e-06   -0.0014534   3.29332e-10   3.29332e-10   -6.71773e-09   -0.000137302   0   -3.04872e-20   1   2.22045e-16
0.000134276   -3.62469e-06   -0.00145341   3.41754e-10   3.41754e-10   -5.88618e-09   -0.000137302   0   -3.04872e-20   1   2.22045e-16
0.000139316   -1.4499e-06   -0.00145342   3.54383e-10   3.54383e-10   -4.24793e-09   -0.000137302   0   -6.09745e-20   1   4.44089e-16
0.000144544   1.47926e-06   -0.00145342   3.67199e-10   3.67199e-10   -1.66719e-09   -0.000137302   0   -6.09745e-20   1   4.44089e-16
0.000149968   2.27346e-06   -0.00145343   3.80177e-10   3.80177e-10   -1.89066e-09   -0.000137302   0   -6.09745e-20   1   4.44089e-16
0.000155597   1.13416e-06   -0.00145343   3.93291e-10   3.93291e-10   -4.61514e-09   -0.000137302   0   -6.09745e-20   1   4.44089e-16
0.000161436   7.95988e-08   -0.00145344   4.06511e-10   4.06511e-10   -7.15426e-09   -0.000137302   0   -6.09745e-20   1   4.44089e-16
0.000167494   -8.0129e-07   -0.00145345   4.19801e-10   4.19801e-10   -9.33867e-09   -0.000137302   0   -9.14617e-20   1   6.66134e-16
0.00017378   -1.41794e-06   -0.00145346   4.33123e-10   4.33123e-10   -1.09894e-08   -0.000137302   0   -9.14617e-20   1   6.66134e-16
0.000180302   -1.67811e-06   -0.00145346   4.46434e-10   4.46434e-10   -1.19173e-08   -0.000137302   0   -9.14617e-20   1   6.66134e-16
0.000187068   -1.48784e-06   -0.00145347   4.59684e-10   4.59684e-10   -1.19226e-08   -0.000137302   0   -1.21949e-19   1   8.88178e-16
0.000194089   -7.51439e-07   -0.00145348   4.7282e-10   4.7282e-10   -1.0794e-08   -0.000137302   0   -1.21949e-19   1   8.88178e-16
0.000201372   6.28543e-07   -0.00145349   4.85781e-10   4.85781e-10   -8.30825e-09   -0.000137302   0   -1.52436e-19   1   1.11022e-15
0.00020893   2.75137e-06   -0.0014535   4.98501e-10   4.98501e-10   -4.22958e-09   -0.000137302   0   -1.52436e-19   1   1.11022e-15
0.00021677   4.83034e-06   -0.00145351   5.10905e-10   5.10905e-10   -2.54322e-10   -0.000137302   0   -1.82923e-19   1   1.33227e-15
0.000224905   2.83081e-06   -0.00145352   5.22913e-10   5.22913e-10   -5.18821e-09   -0.000137302   0   -1.82923e-19   1   1.33227e-15
0.000233346   8.76559e-07   -0.00145353   5.34435e-10   5.34435e-10   -9.94414e-09   -0.000137302   0   -2.13411e-19   1   1.55431e-15
0.000242103   -9.25611e-07   -0.00145354   5.45373e-10   5.45373e-10   -1.4228e-08   -0.000137302   0   -2.43898e-19   1   1.77636e-15
0.000251189   -2.46692e-06   -0.00145355   5.55617e-10   5.55617e-10   -1.77288e-08   -0.000137302   0   -2.74385e-19   1   1.9984e-15
0.000260615   -3.63657e-06   -0.00145356   5.65051e-10   5.65051e-10   -2.01182e-08   -0.000137302   0   -3.04872e-19   1   2.22045e-15
0.000270396   -4.32174e-06   -0.00145357   5.73543e-10   5.73543e-10   -2.1049e-08   -0.000137302   0   -3.3536e-19   1   2.44249e-15
0.000280543   -4.4075e-06   -0.00145358   5.80953e-10   5.80953e-10   -2.01543e-08   -0.000137302   0   -3.65847e-19   1   2.66454e-15
0.000291072   -3.77681e-06   -0.00145359   5.87124e-10   5.87124e-10   -1.70466e-08   -0.000137302   0   -4.26821e-19   1   3.10862e-15
0.000301995   -2.31049e-06   -0.00145361   5.9189e-10   5.9189e-10   -1.13161e-08   -0.000137302   0   -4.87796e-19   1   3.55271e-15
0.000313329   1.12872e-07   -0.00145362   5.95065e-10   5.95065e-10   -2.53001e-09   -0.000137302   0   -5.18283e-19   1   3.77476e-15
0.000325087   -1.09396e-06   -0.00145363   5.96449e-10   5.96449e-10   -6.42142e-09   -0.000137302   0   -5.79258e-19   1   4.21885e-15
0.000337287   -3.64897e-06   -0.00145365   5.95824e-10   5.95824e-10   -1.50964e-08   -0.000137302   0   -6.70719e-19   1   4.88498e-15
0.000349945   -5.99416e-06   -0.00145366   5.92954e-10   5.92954e-10   -2.31304e-08   -0.000137302   0   -7.31694e-19   1   5.32907e-15
0.000363078   -7.99895e-06   -0.00145368   5.87583e-10   5.87583e-10   -2.99838e-08   -0.000137302   0   -8.23156e-19   1   5.9952e-15
0.000376704   -9.53031e-06   -0.00145369   5.7943e-10   5.7943e-10   -3.5086e-08   -0.000137302   0   -9.14617e-19   1   6.66134e-15
